plant_name,plant_key,generation_type,generation_subtype,region,energy_type,renewable_factor,25,total,mwh,hour,timestamp
PMGD PFV TIJERAL,PMGD PFV Tijeral,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,14.313334316838711,0.0,1,2024-10-22 00:00:00
PFV MESETA DE LOS ANDES,PFV Meseta de Los Andes,Solar,(en blanco),Región de Valparaíso,ernc,1.0,0.0,702.5539802344817,0.0,1,2024-10-22 00:00:00
PMGD PFV LAS GOLONDRINAS,PMGD PFV Golondrinas,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,41.70420944529261,0.0,1,2024-10-22 00:00:00
PFV PATAGUILLA [EN_REVISION],PFV PATAGUILLA,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,60.03366585118619,0.0,1,2024-10-22 00:00:00
PE LA CABAÑA,PE LA CABAÑA,Eólica,(en blanco),Región de la Araucanía,ernc,1.0,0.0,784.0796984603927,83.39676747827284,1,2024-10-22 00:00:00
PMGD PFV ENAMI SOLAR,PMGD PFV Enami Solar,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,39.09039049661163,0.0,1,2024-10-22 00:00:00
HE ANGOSTURA,ANGOSTURA U3,Hidráulica,Pasada,Región del Bío-Bío,convencional,0.0,0.0,217.12175816179007,0.0,1,2024-10-22 00:00:00
PMGD PFV AVELLANO SOLAR,PMGD PFV Avellano,Solar,(en blanco),Región del Bío-Bío,ernc,1.0,0.0,38.74672494255733,0.0,1,2024-10-22 00:00:00
PFV QUILMO,PFV QUILMO,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,53.24986161000217,0.0,1,2024-10-22 00:00:00
PMGD PVF DOÑA RUBENA [EN_REVISION],PMGD PFV Dona Rubena,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV LOMA TENDIDA DEL VERANO SOLAR,PMGD PFV Loma Tendida del Verano,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,20.03792237603661,0.0,1,2024-10-22 00:00:00
BESS La Cabaña,BESS La Cabaña (Retiro),Bess,(en blanco),Región de la Araucanía,ernc,1.0,0.0,68.47840151425306,0.38021321705751265,1,2024-10-22 00:00:00
BESS La Cabaña,BESS La Cabaña (Inyección),Bess,(en blanco),Región de la Araucanía,ernc,1.0,0.0,170.6156783490712,0.0,1,2024-10-22 00:00:00
PFV WILLKA,PFV WILLKA,Solar,(en blanco),Arica y Parinacota,ernc,1.0,0.0,582.0864240931014,0.0,1,2024-10-22 00:00:00
BESS ALFALFAL VR1,BESS ALFALFAL VR1 (Inyección),Bess,(en blanco),Región Metropolitana,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV RECOLETA,PMGD PFV Recoleta,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,32.95782161495889,0.0,1,2024-10-22 00:00:00
PMGD PFV SOFIA,PMGD PFV Sofia,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,18.49829739912966,0.0,1,2024-10-22 00:00:00
PMGD PFV ENCINO,PMGD PFV ENCINO,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,14.146263999067102,0.0,1,2024-10-22 00:00:00
PMGD PFV TAMARAMA [En_Revision],PMGD PFV TAMARAMA,Solar,(en blanco),Región de Atacama,ernc,1.0,0.0,41.55296364734058,0.0,1,2024-10-22 00:00:00
PMGD PFV EL CARDENAL,PMGD PFV El Cardenal,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,16.114517657294368,0.0,1,2024-10-22 00:00:00
PMGD PFV LOS ROBLES,PMGD PFV Los Robles,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,9.980837999537414,0.0,1,2024-10-22 00:00:00
PFV LAS SALINAS,PFV LAS SALINAS,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,1284.170140611749,0.0,1,2024-10-22 00:00:00
HE ANGOSTURA,ANGOSTURA U2,Hidráulica,Pasada,Región del Bío-Bío,convencional,0.0,0.0,2222.24619759141,93.05218206933861,1,2024-10-22 00:00:00
HE ANGOSTURA,ANGOSTURA U1,Hidráulica,Pasada,Región del Bío-Bío,convencional,0.0,0.0,2366.326995634256,124.06957609245148,1,2024-10-22 00:00:00
PMGD PFV LO MIGUEL,PMGD PFV Lo Miguel,Solar,(en blanco),Región de O'Higgins,ernc,1.0,0.0,26.322074305065094,0.0,1,2024-10-22 00:00:00
PMGD PFV POMUYETO,PMGD PFV Pomuyeto,Solar,(en blanco),Región de Ñuble,ernc,1.0,0.0,12.279938971169267,0.0,1,2024-10-22 00:00:00
PMGD PFV PENCAHUE,PMGD PFV Pencahue,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
BESS ALFALFAL VR1,BESS ALFALFAL VR1 (retiro),Bess,(en blanco),Región Metropolitana,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
PMGD PFV CHAÑAR DEL VERANO,PMGD PFV Chañar del Verano,Solar,(en blanco),Región de Antofagasta,ernc,1.0,0.0,17.816903295091194,0.0,1,2024-10-22 00:00:00
PMGD PFV TABOLANGO,PMGD PFV Tabolango,Solar,(en blanco),Región de Valparaíso,ernc,1.0,0.0,15.027478439526492,0.0,1,2024-10-22 00:00:00
PFV DOÑA ANTONIA,PFV Doña Antonia,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,77.81363655411252,0.0,1,2024-10-22 00:00:00
PFV  DON OSCAR,PFV Don Oscar,Solar,(en blanco),Región de Coquimbo,ernc,1.0,0.0,15.67046024570648,0.0,1,2024-10-22 00:00:00
BESS Tamaya,BESS Tamaya (retiro),Bess,(en blanco),Región de Antofagasta,ernc,1.0,0.0,466.16141533446097,0.0,1,2024-10-22 00:00:00
BESS Tamaya,BESS Tamaya (inyección),Bess,(en blanco),Región de Antofagasta,ernc,1.0,0.0,432.64261856754854,71.3400062531596,1,2024-10-22 00:00:00
PMGD PFV PLAZA SUNLIGHT,PMGD PFV Plaza Sunlight,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,42.61024443098849,0.0,1,2024-10-22 00:00:00
PFV TAMANGO,PFV TAMANGO,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,136.26641587121748,0.0,1,2024-10-22 00:00:00
PMGD PFV EL INTERLOCUTOR,PMGD PFV El Interlocutor,Solar,(en blanco),Región Metropolitana,ernc,1.0,0.0,1.0672062270665152,0.0,1,2024-10-22 00:00:00
PMGD PFV ALBATROS,PMGD PFV Albatros,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,8.41284230811987,0.0,1,2024-10-22 00:00:00
PFV GRAN TENO,PFV GRAN TENO,Solar,(en blanco),Región del Maule,ernc,1.0,0.0,0.0,0.0,1,2024-10-22 00:00:00
